cluster_label	level	category	eligible	n	n_eff	n_hit	rho_bar	vif	auc_abs	auc_signed	perm_p	vif_z	vif_p	pooled_rg	pooled_rg_ci_lo	pooled_rg_ci_hi	coherence	mean_abs_rg	mean_signed_rg	odds_ratio	fisher_p	q	rank	z_threshold
noise_re4	icd_chapter	XV	True	23	11.5	5	0.326	4.43	0.3488	0.3499	0.991004497751124	-1.165	0.877892809414931	0.1179	0.066	0.1692	0.833	0.1457	0.1215	0.506	0.946888435019214	1	13	5
noise_re4	icd_chapter	VII	True	27	16.31	3	0.191	3.92	0.2706	0.2759	1	-2.026	0.978627322372843	0.087	0.0425	0.1311	0.811	0.1223	0.0992	0.221	0.999132436861777	1	14	5
noise_re4	icd_chapter	XIV	True	43	18.87	2	0.361	7.45	0.2597	0.2484	1	-1.909	0.971859738471258	0.076	0.0272	0.1245	0.745	0.112	0.0835	0.081	0.999999901593738	1	15	5
noise_re4	icd_chapter	II	True	22	11.19	0	0.29	3.95	0.1874	0.0959	1	-2.495	0.993694578546823	-0.0239	-0.0702	0.0224	0.082	0.0742	-0.0061	0	1	1	16	5
C0	native	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	True	74	29.16	5	0.495	14.95	0.706	0.7555	0.000499750124937531	1.463	0.0717111621691335	0.1274	0.0895	0.165	0.981	0.1254	0.123	1.321	0.374192796747148	0.0149925037481259	1	5
C0	native	V Mental and behavioural disorders (F5_)	True	31	10.44	5	0.628	6.93	0.6604	0.7147	0.00149925037481259	1.137	0.127794071477456	0.1434	0.0975	0.1887	0.987	0.1464	0.1446	3.881	0.0205032975879836	0.0224887556221889	2	5
C0	native	Psychiatric endpoints from Katri Räikkönen	True	11	4.08	2	0.724	3.23	0.6403	0.6942	0.0619690154922539	0.886	0.187678720282792	0.1256	0.0773	0.1733	0.959	0.1356	0.1301	4.098	0.115510653528198	0.472263868065967	3	5
C0	native	XIV Diseases of the genitourinary system (N14_)	True	43	18.87	2	0.361	7.45	0.5703	0.5799	0.0629685157421289	0.558	0.288322195840958	0.0872	0.046	0.1281	0.775	0.1127	0.0874	0.837	0.699124666200756	0.472263868065967	4	5
C0	native	Diabetes endpoints	True	3	2	0	0.818	1.82	0.6478	0.0432	0.189905047476262	0.655	0.256246669465587	-0.0903	-0.145	-0.035	1	0.0878	-0.0878	0	1	0.555972013993003	5	5
C0	native	Neurological endpoints	True	3	3	0	0.156	1.31	0.6437	0.6937	0.193403298350825	0.75	0.226631740749164	0.0982	0.0443	0.1515	1	0.1176	0.1176	0	1	0.555972013993003	6	5
C0	native	Drug purchase endpoints	True	6	4	1	0.377	2.13	0.6344	0.5978	0.129935032483758	0.776	0.218856647366044	0.0657	0.02	0.1111	0.809	0.1168	0.0945	3.577	0.286013387389262	0.555972013993003	7	5
C0	native	Asthma and related endpoints	True	10	3.05	0	0.804	2.65	0.5698	0.6347	0.222388805597201	0.465	0.321016742254045	0.0953	0.0489	0.1413	1	0.099	0.099	0	1	0.555972013993003	8	5
C0	native	X Diseases of the respiratory system (J10_)	True	25	10.36	2	0.491	5.6	0.5631	0.5694	0.130434782608696	0.449	0.326594950227809	0.0834	0.042	0.1245	0.748	0.1017	0.0761	1.555	0.399907068308666	0.555972013993003	9	5
